1500733368.627685,1,-21.0
1500734917.367205,2,-20.0
1500736485.70348,3,-19.0
1500738175.966596,4,-17.0
1500739819.69839,5,-16.0
1500741563.436339,6,-14.0
1500743352.316169,7,-11.0
1500745108.853665,8,-10.0
1500746938.064107,9,-5.0
1500748599.82926,10,-9.0
1500750426.096864,11,0.0
1500752252.513873,12,3.0
1500753725.108116,13,4.0
1500755473.682442,14,3.0
1500756965.538092,15,9.0
1500758393.679879,16,9.0
1500759939.518051,17,11.0
1500761609.436478,18,12.0
1500763119.707444,19,6.0
1500764532.216842,20,16.0
1500766115.500934,21,16.0
1500767592.442119,22,17.0
1500769110.221203,23,18.0
1500770758.578453,24,19.0
1500772213.528727,25,20.0
1500773787.152813,26,19.0
1500775338.479663,27,19.0
1500776904.164034,28,20.0
1500778476.876767,29,20.0
1500780050.880526,30,20.0
1500781559.888391,31,20.0
1500783143.028102,32,20.0
1500784690.359329,33,20.0
1500786283.517405,34,20.0
1500787823.527206,35,20.0
1500789425.055293,36,20.0
1500791010.650922,37,19.0
1500792533.543937,38,19.0
1500794086.281832,39,20.0
1500795630.43672,40,20.0
1500797194.477604,41,20.0
1500798784.081275,42,20.0
1500800398.46924,43,20.0
1500802048.032817,44,21.0
1500803570.020149,45,20.0
1500805146.091767,46,20.0
1500806740.136301,47,20.0
1500808357.411823,48,20.0
1500809899.029386,49,20.0
1500811483.752282,50,19.0
1500813043.529203,51,20.0
1500814590.524422,52,21.0
1500816137.607178,53,20.0
1500817715.29682,54,20.0
1500819298.040746,55,20.0
1500820840.66194,56,20.0
1500822404.141414,57,21.0
1500823986.223226,58,20.0
1500825510.631673,59,21.0
1500827076.713942,60,20.0
1500828607.865558,61,21.0
1500830180.897181,62,20.0
1500831728.603595,63,20.0
1500833280.639303,64,20.0
1500834858.266578,65,19.0
1500836390.516024,66,20.0
1500837952.802217,67,20.0
1500839506.19187,68,21.0
1500841065.01733,69,21.0
1500842604.667969,70,20.0
1500844199.713521,71,20.0
1500845725.459768,72,20.0
1500847270.832338,73,20.0
1500848817.108326,74,20.0
1500850385.601364,75,20.0
1500851926.039921,76,20.0
1500853501.639909,77,20.0
1500855030.579238,78,20.0
1500856595.872473,79,19.0
